Year,Armagh,sheffield,rochespoint,phoenixpark,Markree
2011,-3,-5.5,0.7,0.9,0.8
2011,-1.2,-4.4,3,0.6,-1
2011,0.8,-1.4,1.7,-0.6,3.3
2011,-0.9,0.6,1,-1,1.6
2011,1.3,-3.2,1.2,-0.1,2
2011,-0.4,-2.3,1.5,-1.3,1.9
2011,0,4.7,2.6,3.2,1.7
2011,0.8,2.1,2,1.1,4
2011,0.9,-0.2,1.2,-0.3,1.7
2011,1.3,1.3,0.3,-0.1,3.1
2011,-0.5,-0.6,-1.6,0.2,0.7
2011,-3.4,-1.2,-0.5,0.4,-0.7
2011,-1.7,-3.1,0.6,1.4,-0.5
2012,2.1,6.2,3.6,1.1,2.3
2012,6.4,7.6,3.1,-0.9,-0.4
2012,-3.3,-1.4,-0.7,0.4,0.3
2012,3,-0.3,2.9,-1.1,-0.7
2012,-3.7,-5.7,-2.6,-0.1,1.5
2012,5.4,3.7,2.9,-0.6,1.8
2012,2.1,-1.2,-1,1.2,2
2012,-2.1,-2.4,-1.5,1.8,0.8
2012,-0.9,-1,2.7,2.7,3.9
2012,-0.9,6.5,3.7,3.4,2.9
2012,2.2,3.4,2.4,3.2,1.5
2012,1.7,3.9,0.6,2.5,1.8
2012,2.3,0.3,2.9,0.4,3.6
2012,-0.1,-3,1.2,1.8,-1.5
2012,0.4,1,2.5,1.2,1
2012,2.2,1.1,2.9,-0.8,5.9
2012,0.5,-3.1,2.7,-0.4,2.8
2012,-0.5,-3.7,3.1,0.6,3.7
2012,-2.1,-3.1,2.4,0.9,1.4
2012,5.9,0.6,4.1,-0.4,1.4
2012,1.3,0.2,-0.6,-1.1,2.7
2012,1.2,-1.1,-0.9,-0.1,1.5
2012,-1.8,-1.2,1.8,1.2,1.4
2012,4.6,1.2,2.6,-0.4,4.5
2012,-0.8,-2.1,4.4,-1.2,1
2012,0.2,-0.6,6.2,-0.3,3.5
2012,0.2,-3.3,5.5,-0.2,0
2012,0.7,-1.1,4,0.5,-0.1
2012,3.7,-0.1,1.2,-2.4,2
2012,-0.2,-0.3,1.3,-2.6,2.5
2012,-4.9,-0.6,2.1,0.4,1.8
2012,3.4,2,2.9,-1.2,0.6
2012,-5.1,-6.3,0.7,1,-2.3
2012,-3.8,-6.5,1.3,-2.8,-2.2
2012,1.2,3.9,2.4,-0.1,1.8
2012,-0.6,-2.2,-0.1,-0.3,-2.5
2012,7.1,1.4,1.8,-1.5,3.1
2012,-2.6,-2.2,-0.4,0.4,2.9
2012,0.3,0.5,1.3,-2,2.2
2012,2.9,1.3,0.8,-2.4,3.2
2012,-0.9,-2.5,0.7,-1,3.6
2012,-5.3,-1,-3.5,-0.1,-4.5
2012,0,-1.1,1.5,-0.8,-1.4
2012,-1.8,-2.8,-0.9,0.5,0.4
2012,-2.7,0.3,1.9,1.9,0.9
2012,2.1,-2.3,0.3,0.5,0.3
2012,4.5,2.9,5.7,-0.1,6.7
2012,3.5,3.5,1.2,-0.4,2.5
2012,0.4,0.3,-1.1,0.4,1.4
2012,-0.9,-2.4,1.7,-1.4,1.9
2012,-1.3,-4.7,3.5,-0.6,1.5
2012,3,-5.1,4.7,0.8,-0.7
2012,3.6,-4.8,7.5,-0.6,7.4
2012,-0.8,-0.9,3.4,1.5,2.5
2012,-2.1,-4.1,1.7,0.2,1.4
2012,5.4,1.8,4.6,3,5.1
2012,3.7,0.3,3,-0.9,4
2012,2.7,1,1.9,-0.5,4.6
2012,-0.1,-0.3,-0.5,1.2,2.2
2012,0.9,1.2,3.5,-0.2,0.2
2012,-2.2,-4,2.2,-1.5,1.6
2012,-1.8,-2,1.2,-0.7,1.6
2012,0,-0.8,3.1,1.3,1
2012,0.1,-2.6,3.5,-0.9,-0.8
2012,1,-3.3,1.5,-0.7,-2.1
2012,1.6,-0.5,2.2,-2.4,4.6
2012,-2.4,-2.1,1,-0.3,0
2012,-3.1,-3.9,0.1,2.4,-0.8
2012,-0.8,-2.4,3,-0.7,-2
2012,-0.2,1.8,7.2,0,2.9
2012,4.5,2,3.4,-1.1,-0.7
2012,4.5,0.5,4.5,-1.6,0.3
2012,-0.9,-1.3,3.5,2.1,1.3
2012,-0.7,-3.3,3,2.1,0.3
2012,2.1,-1.1,2.6,1.4,-0.5
2012,-3.9,-4.2,0.9,0.1,-0.8
2012,-3.8,-1.5,2,0.5,-0.7
2012,-2.7,-4.7,2.3,-0.2,-2.6
2012,0.9,-0.2,3.8,-2,0.2
2012,-2.8,-4.3,2.3,-0.8,-0.1
2012,3.2,3.1,3.9,-2.3,2.1
2012,0.9,0.4,1.1,-1.1,1.1
2012,2.1,1.3,0.4,1.7,2
2012,1.6,-1.6,1.8,1.3,2.1
2012,-4.3,-3.6,-2.9,-0.2,-2.5
2012,0.5,0,1.8,3.3,2.8
2012,-2.5,0.4,1.2,0.2,-0.6
2012,2.5,-0.9,1.5,-1.8,1.3
2012,1.3,3.6,2.2,-1,1.8
2012,0.7,4.9,0.6,0.7,3.1
2012,0.1,0.4,0.4,0,1.5
2012,-1.1,-4,-1.2,2.2,0.5
2013,-0.3,-1.4,1.7,3.6,2.8
2013,-0.7,-1.3,3.6,3.4,1.4
2013,-3.3,0.2,3.7,2.6,0.2
2013,-1.4,6.2,4.8,2.2,-0.2
2013,-1.7,2,5.6,-0.1,-0.7
2013,-0.9,2.1,4.1,-1.8,-0.2
