Year,Bs,T,B,CT,LB,MG,DG
1963,,1.6,1.9,0.6,,,2.7
1963,,0.5,1.4,0,,,1.7
1963,,-0.1,0.4,-0.8,,,-0.1
1963,,2.5,3.2,3,,,3.6
1963,,0.6,1.3,0.1,,,0.9
1963,,1,0.6,0.9,,,2.4
1963,,-0.9,0.1,-1.8,,,3.3
1963,,0.1,1.5,0.6,,,1.5
1963,,0,-0.3,-3.3,,,-2
1963,,1.5,1.1,-2.6,,,-0.5
1963,,-0.6,1.1,0.3,,,2.4
1963,,1.4,0.2,1.5,,,1.5
1963,,3.8,4.8,3.8,,,4.9
1963,,2.2,2.8,2,,,3
1963,,1.9,2.8,2.8,,,3.9
1963,,3.4,3,1.5,,,2.1
1963,,0.7,0.2,-0.8,,,0.2
1963,,0.9,0.3,-0.8,,,0.1
1963,,-1.4,-1.9,-3.5,,,-2.7
1963,,0.5,3.4,-2.4,,,0.4
1963,,2.5,0.6,-1,,,0.3
1963,,-0.5,0.6,-0.8,,,0.2
1963,,-1.8,-1.4,-0.4,,,1.1
1963,,1.7,1.7,-1.7,,,-0.1
1963,,1.5,1.8,1.1,,,1.7
1963,,-0.1,0.3,-1.5,,,0.7
1963,,-0.2,1,-0.2,,,0.7
1963,,0.8,1.5,0,,,0.7
1963,,1.1,0.6,-1.3,,,0.6
1963,,-0.5,-0.1,-0.7,,,1
1963,,0,1.2,-1.4,,,0.9
1963,,0.1,2.2,0.6,,,1.7
1963,,1,0.9,-4.7,,,0.9
1963,,-0.4,0.9,-2.7,,,0.6
1963,,1.7,1.9,-1.1,,,0.4
1963,,1.5,2.8,2.7,,,3.2
1963,,1.8,2.5,0.3,,,1.6
1963,,0,1,-1.1,,,1.3
1963,,0.8,0.3,-0.8,,,2
1963,,0.4,0,-1,,,0.7
1963,,0.5,0.4,-2.5,,,0.9
1963,,1.1,0.4,-0.7,,,0.2
1963,,0.9,0.6,-2.3,,,0.4
1963,,0,-0.2,-0.3,,,0.2
1963,,1.6,1.8,1.1,,,2.1
1963,,1,1,0.3,,,1
1963,,0.4,1,-0.4,,,1.5
1963,,0,-0.1,-0.8,,,0.4
1963,,0.1,-0.1,0,,,0.7
1963,,0.6,0.9,-1,,,0.1
1963,,1.4,0.1,1.1,,,1.4
1964,0.4,1.1,0.2,0.6,,,-2.8
1964,2,2.9,1.9,2.4,,,
1964,1.6,1.8,1.8,2.3,,,1.6
1964,0.9,1.8,0.7,-0.8,,,0.9
1964,-1.1,0.5,0.6,-2.5,,,-0.3
1964,2.8,2.1,1.2,2.7,,,3.2
1964,0.3,1.8,1.4,0.3,,,1
1964,-0.2,1.1,0.2,-1.6,,,-0.3
1964,2.8,1.8,0.1,2.3,,,1.4
1964,-0.8,-0.3,0.7,-1.5,,,-0.4
1964,-0.9,0.5,0.3,-1.7,,,0.3
1964,-1.7,0.2,-0.5,-0.8,,,0.1
1964,-1.3,2.6,2.3,-2,,,-0.6
1964,0.5,0.5,0.2,-0.2,,,1
1964,-0.2,1.5,1.4,0.1,,,0.2
1964,-2.7,-1.5,0.5,-1.6,,,-0.3
1964,-1.4,-0.1,-0.2,-1.6,,,0.2
1964,0,1.9,1.1,0.3,,,0.7
1964,-0.6,0.4,0.8,0.5,,,1
1964,-0.6,1.7,2.2,0.9,,,1.2
